Task: condition | classes: ['Formalin-mixed', 'Fresh', 'Rotten']
Model params: 5,241,091
Args: {'task': 'condition', 'image_size': 224, 'batch_size': 32, 'epochs': 120, 'lr': 0.0003, 'weight_decay': 0.0003, 'label_smoothing': 0.1, 'dropout': 0.5, 'mixup_alpha': 0.2, 'use_aux_head': False, 'aux_weight': 0.3, 'num_workers': 4, 'seed': 42}

[96/120] train loss 0.5165 acc 64.4% | valid loss 0.7997 acc 72.5% | lr 1.00e-06
[97/120] train loss 0.4876 acc 64.8% | valid loss 0.8135 acc 72.4% | lr 1.00e-06
[98/120] train loss 0.4941 acc 67.3% | valid loss 0.8108 acc 72.1% | lr 1.00e-06
[99/120] train loss 0.4845 acc 68.1% | valid loss 0.8117 acc 72.2% | lr 1.00e-06
[100/120] train loss 0.5074 acc 64.0% | valid loss 0.7814 acc 74.5% | lr 1.00e-06
[101/120] train loss 0.4899 acc 63.1% | valid loss 0.7857 acc 73.8% | lr 1.00e-06
[102/120] train loss 0.4930 acc 65.2% | valid loss 0.7825 acc 75.1% | lr 1.00e-06
[103/120] train loss 0.5122 acc 68.4% | valid loss 0.7761 acc 73.8% | lr 1.00e-06
[104/120] train loss 0.5016 acc 63.1% | valid loss 0.7682 acc 75.1% | lr 1.00e-06
[105/120] train loss 0.4914 acc 64.2% | valid loss 0.8102 acc 72.9% | lr 1.00e-06
[106/120] train loss 0.5099 acc 66.2% | valid loss 0.8325 acc 71.1% | lr 1.00e-06
[107/120] train loss 0.4919 acc 68.3% | valid loss 0.7584 acc 75.0% | lr 1.00e-06
[108/120] train loss 0.4997 acc 60.5% | valid loss 0.7827 acc 73.9% | lr 1.00e-06
[109/120] train loss 0.4696 acc 64.4% | valid loss 0.7846 acc 74.9% | lr 1.00e-06
[110/120] train loss 0.4849 acc 68.6% | valid loss 0.8401 acc 70.7% | lr 1.00e-06
[111/120] train loss 0.4890 acc 67.5% | valid loss 0.8022 acc 72.3% | lr 1.00e-06
[112/120] train loss 0.4991 acc 63.7% | valid loss 0.7748 acc 74.5% | lr 1.00e-06
